bas-engine-1  | 2026-06-24 12:22:02,176 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'input'
bas-engine-1  | 2026-06-24 12:22:02,186 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,242 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'name'
bas-engine-1  | 2026-06-24 12:22:02,251 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,266 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'query'
bas-engine-1  | 2026-06-24 12:22:02,276 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,389 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'input'
bas-engine-1  | 2026-06-24 12:22:02,401 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,413 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'name'
bas-engine-1  | 2026-06-24 12:22:02,424 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,508 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'id'
bas-engine-1  | 2026-06-24 12:22:02,518 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,625 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'search'
bas-engine-1  | 2026-06-24 12:22:02,636 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,686 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'user'
bas-engine-1  | 2026-06-24 12:22:02,696 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,729 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'page'
bas-engine-1  | 2026-06-24 12:22:02,739 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,919 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'query'
bas-engine-1  | 2026-06-24 12:22:02,930 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:02,955 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'path'
bas-engine-1  | 2026-06-24 12:22:02,965 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,045 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'user'
bas-engine-1  | 2026-06-24 12:22:03,056 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,096 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'id'
bas-engine-1  | 2026-06-24 12:22:03,106 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,267 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'q'
bas-engine-1  | 2026-06-24 12:22:03,278 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,347 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'search'
bas-engine-1  | 2026-06-24 12:22:03,358 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,393 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'page'
bas-engine-1  | 2026-06-24 12:22:03,404 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,452 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'page'
bas-engine-1  | 2026-06-24 12:22:03,462 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,544 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'path'
